IDPEDIDO;PCOD;QTDCOMPRA;VLCOMPRA;PCFOP
"C38012N16770F1038";5706;5.000;79.5000;"1407"
"C38012N16770F1038";5707;2.000;7.4000;"1407"
"C778013N126545F778";149;144.160;1319.9100;"1403"
"C778013N126545F778";147;42.840;374.9700;"1401"
"C108014N924405F108";145;2489.000;15343.4400;"2101"
"C693015N3805F693";584;198.000;3164.7100;"2101"
"C602016N297729F602";481;3065.000;17960.9000;"2102"
"C602016N297729F602";5709;1528.000;8954.0800;"2101"
"C836017N160345F836";1061;800.000;2496.0000;"2401"
"C778018N126924F778";3962;411.840;3689.8400;"1401"
"C78019N121414F78";7;21.000;170.8500;"1101"
"C78019N121414F78";45;9.500;77.2900;"1101"
"C78019N121414F78";46;75.000;610.2500;"1101"
"C78019N121414F78";48;49.000;398.6800;"1101"
"C78019N121414F78";60;70.000;600.0000;"1101"
"C523020N4825F523";598;2000.000;21200.0000;"2101"
"C5021N1094226F5";188;3.600;110.1400;"1401"
"C5021N1094226F5";186;10.000;139.8000;"1102"
"C5021N1094226F5";599;10.000;260.0000;"1401"
"C5021N1094226F5";384;1.000;84.9200;"1556"
"C961022N1833F961";5721;4.000;18.0000;"1556"
